group,field,units,dimensions,datatype,coordinates,description,long_name,source
height_change_20km,dhdt_lag4_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag4",float32,"x,y,../year_lag4",20x20 km average annual height change rate,annual height-change rate at 20 km,3.4
height_change_20km,dhdt_lag4_sigma_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag4",float32,"x,y,../year_lag4",Uncertainty in the 20x20 km average annual height change rate,annual height-change rate uncertainty at 20 km,3.4
height_change_20km,dhdt_lag8_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag8",float32,"x,y,../year_lag8",20x20 km average biennial height change rate,biennial height-change rate at 20 km,3.4
height_change_20km,dhdt_lag8_sigma_20km,meters years^-1,"Nx_20km, Ny_20km, Nt_lag8",float32,"x,y,../year_lag8",Uncertainty in the 20x20 km average biennial height change rate,biennial height-change rate uncertainty at 20 km,3.4
,,,,,,,,
height_change_40km,x,meters,Nx_40km,float64,x,"x coordinate of the 40-km cell centers, in projected coordinates",polar stereographic x at 40 km,3.2
height_change_40km,y,meters,Ny_40km,float64,y,"y coordinate of the 40-km cell centers, in projected coordinates",polar stereographic y at 40 km,3.2
height_change_40km,cell_area_40km,meters^2,"Nx_40km, Ny_40km",float32,"x,y","Ice-covered area of each 40x40 km grid cell, accounting for the area distortion in the polar-stereographic projections",ice covered area at 40 km,3.4
height_change_40km,delta_h_40km,meters,"Nx_40km, Ny_40km, Nt",float32,"x,y,../year","40x40 km average height change relative to the datum (Jan 1, 4040) surface",quarterly height change  at 40 km,3.4
height_change_40km,delta_h_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt",float32,"x,y,../year","Uncertainty in the 40x40 km average height change relative to the datum (Jan 1, 4040) surface",quarterly height change uncertainty at 40 km,3.4
height_change_40km,dhdt_lag1_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag1",float32,"x,y,../year_lag1",40x40 km average quarterly height change rate,quarterly height-change rate at 40 km,3.4
height_change_40km,dhdt_lag1_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag1",float32,"x,y,../year_lag1",Uncertainty in the 40x40 km average quarterly height change rate,quarterly height-change rate uncertainty at 40 km,3.4
height_change_40km,dhdt_lag4_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag4",float32,"x,y,../year_lag4",40x40 km average annual height change rate,annual height-change rate at 40 km,3.4
height_change_40km,dhdt_lag4_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag4",float32,"x,y,../year_lag4",Uncertainty in the 40x40 km average annual height change rate,annual height-change rate uncertainty at 40 km,3.4
height_change_40km,dhdt_mission_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag8",float32,"x,y,../year_lag8",40x40 km average biennial height change rate,biennial height-change rate at 40 km,3.4
height_change_40km,dhdt_mission_sigma_40km,meters years^-1,"Nx_40km, Ny_40km, Nt_lag8",float32,"x,y,../year_lag8",Uncertainty in the 40x40 km average biennial height change rate,biennial height-change rate uncertainty at 40 km,3.4
